MCTFS Baseline Standard Change Audit (BSCA)
Job:,TC77BSCA
Run Date:,20260629

*
* Report Selection Criteria:
* ==========================
*
* Current Production
* Production History
* Date Range From:2026-03-01
*            To  :2026-05-31
*
* Type       :
* Name       :
* Lasp Op    :
* Appl       :MTFS
* OwnApplGrp :
* Stream     :TFSFOS
* Level      :
* User       :
* Checkout   :
* Env        :
* Release    :
* Workref    :
*

TEST CRITERIA
1. Requirement for the change was documented under a valid work type
2. Proper authorization to make the modification was documented in Jira
3. Evidence of change was documented in Jira Sub-Task
4. Test was performed and accepted demonstrating this modification aligned with requirements
5. Overall project was approved to release to production
6. Release container for the change has two different people approve the release to production

"NOTE: Report has been sorted for optimal audit steps. Sort by DATE, TIME ASC to put in order that was used for random selection."

SELECTED,APPL,TYPE,NAME,VER,ACTION,RELEASE,DATE,TIME,PATH,JIRA #,WORK TYPE,TEST 1,TEST 2,TEST 3,TEST 4,TEST 5,TEST 6,NOTES
Y,MTFS,COB,T7041SBR,4,,SR00000090,2026-04-22,04:48:29,DR1A,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,T7030FG9,9,C,SR00000090,2026-04-22,04:52:44,DR1B,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,T7034W34,5,C,SR00000090,2026-04-22,04:57:05,DR1B,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,T7033483,7,,SR00000090,2026-04-22,04:57:13,DR1B,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,T7033662,7,C,SR00000090,2026-04-22,04:58:20,DR1A,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,T7033G04,7,C,SR00000090,2026-04-22,04:58:39,DR1A,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,T7030UMR,4,C,SR00000090,2026-04-22,04:59:17,DR1B,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,T703113A,4,C,SR00000090,2026-04-22,04:59:20,DR1B,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,TJJPTRNG,10,,SR00000090,2026-04-22,04:59:52,DR1B,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,T7047P54,4,,SR00000090,2026-04-22,05:01:04,DR1B,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,T7033784,8,,SR00000090,2026-04-22,05:02:21,DR1B,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,TJTPR168,5,,SR00000090,2026-04-22,05:03:33,DR1B,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,T7039WLF,4,,SR00000090,2026-04-22,05:03:42,DR1A,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,TIMPIATW,13,,SR00000090,2026-04-22,05:05:31,DR1A,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,TJTSPSPL,2,,SR00000090,2026-04-22,05:05:54,DR1A,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,TK0TDBSS,4,,SR00000090,2026-04-22,05:07:39,DR1B,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,PROC,T7032MA0,15,,SR00000090,2026-04-22,05:45:01,DR1B,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,PROC,TK1GNP00,5,,SR00000090,2026-04-22,05:45:23,DR1A,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,PROC,T7041LK0,58,,SR00000091,2026-04-21,13:50:58,DR1B,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,JCL,XC7047U1,1,,SR00000092,2026-03-02,08:02:05,DR1B,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,PROC,T7032BX0,22,,SR00000094,2026-04-22,04:42:24,DR1A,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,T7032BXA,29,,SR00000094,2026-04-22,04:43:01,DR1A,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,COB,T7033378,192,,STND000126,2026-03-24,10:52:06,DR2A,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
Y,MTFS,JCL,TC5200ID,15,,STND000132,2026-04-24,11:10:14,DR1A,TFS-1234,Epic,Y,Y,Y,Y,Y,N,Audit successful.
,MTFS,COPY,TADMNO01,4,,PTR0002939,2026-05-28,05:31:40,DR1A,,,N,N,N,N,N,N,
,MTFS,COPY,TOMDTBL2,4,,PTR0002939,2026-05-28,05:31:41,DR1A,,,N,N,N,N,N,N,
,MTFS,COPY,TOMIDEDT,4,,PTR0002939,2026-05-28,05:31:41,DR1A,,,N,N,N,N,N,N,
,MTFS,COB,TOMPDTVR,12,,PTR0002939,2026-05-28,05:31:49,DR1A,,,N,N,N,N,N,N,
,MTFS,COB,TWSPADMN,25,,PTR0002939,2026-05-28,05:31:52,DR1B,,,N,N,N,N,N,N,
,MTFS,COB,T7033JEA,103,,PTR0003039,2026-03-09,09:53:20,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033G33,26,,PTR0003039,2026-03-09,09:53:24,DBFA,,,N,N,N,N,N,N,
,MTFS,COPY,X7030AT1,1,,PTR0003116,2026-04-08,06:30:25,DBFA,,,N,N,N,N,N,N,
,MTFS,JCL,XC7030AD,4,,PTR0003116,2026-04-08,06:30:30,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7030ATP,2,,PTR0003116,2026-04-08,06:30:33,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7030AT2,1,,PTR0003116,2026-04-08,06:30:35,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7030AT1,1,,PTR0003116,2026-04-08,06:30:37,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7030ATD,2,,PTR0003116,2026-04-08,06:30:39,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7030ATJ,3,,PTR0003116,2026-04-08,06:30:43,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033378,184,,PTR0003126,2026-03-05,08:16:20,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TJBPOPTV,8,,PTR0003127,2026-03-05,12:01:39,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033JER,78,,PTR0003150,2026-03-16,09:09:49,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7047ICR,24,,PTR0003151,2026-03-05,13:32:15,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033596,176,,PTR0003155,2026-04-03,10:59:11,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033138,22,,PTR0003157,2026-03-03,13:28:38,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033G02,6,,PTR0003160,2026-03-17,10:40:28,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033001,22,,PTR0003163,2026-03-06,09:43:24,DBFA,,,N,N,N,N,N,N,
,MTFS,TAXR,KS260073,1,,PTR0003165,2026-03-02,06:58:28,BFD,,,N,N,N,N,N,N,
,MTFS,TAXS,MD260071,1,,PTR0003165,2026-03-02,06:58:28,BFD,,,N,N,N,N,N,N,
,MTFS,TAXR,OH260072,1,,PTR0003165,2026-03-02,06:58:29,BFD,,,N,N,N,N,N,N,
,MTFS,TAXR,MD260071,1,,PTR0003165,2026-03-02,06:58:30,BFD,,,N,N,N,N,N,N,
,MTFS,TAXS,KS260073,1,,PTR0003165,2026-03-02,06:58:30,BFD,,,N,N,N,N,N,N,
,MTFS,TAXR,MD260074,1,,PTR0003165,2026-03-02,07:12:17,BFD,,,N,N,N,N,N,N,
,MTFS,TAXS,MD260074,1,,PTR0003165,2026-03-02,07:12:17,BFD,,,N,N,N,N,N,N,
,MTFS,COB,T7036VAB,72,,PTR0003167,2026-03-20,07:31:12,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7030142,9,,PTR0003169,2026-03-23,15:10:23,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T703012U,17,,PTR0003169,2026-03-23,15:10:26,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TOMPRUC,130,,PTR0003171,2026-03-19,08:36:25,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033596,170,,PTR0003176,2026-03-16,10:52:06,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033323,29,,PTR0003178,2026-03-06,09:32:40,DBFA,,,N,N,N,N,N,N,
,MTFS,JCL,TC7030JB,7,,PTR0003179,2026-03-04,11:24:03,DBFA,,,N,N,N,N,N,N,
,MTFS,JCL,TC7030JA,7,,PTR0003179,2026-03-04,11:24:04,DBFA,,,N,N,N,N,N,N,
,MTFS,JCL,TC7030JD,7,,PTR0003179,2026-03-04,11:24:04,DBFA,,,N,N,N,N,N,N,
,MTFS,JCL,TC7030JC,7,,PTR0003179,2026-03-04,11:24:05,DBFA,,,N,N,N,N,N,N,
,MTFS,JCL,TC7030JE,5,,PTR0003179,2026-03-04,11:24:06,DBFA,,,N,N,N,N,N,N,
,MTFS,JCL,TC7030JF,5,,PTR0003179,2026-03-04,11:24:06,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033595,83,,PTR0003181,2026-05-04,11:42:14,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033594,396,,PTR0003182,2026-03-11,09:40:56,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T733N118,13,,PTR0003183,2026-03-11,12:31:49,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T3118V24,10,,PTR0003183,2026-03-11,12:31:52,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033206,76,,PTR0003183,2026-03-11,12:31:56,DBFA,,,N,N,N,N,N,N,
,MTFS,COPY,TK3CTLTB,2,,PTR0003185,2026-03-16,06:31:06,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033CTL,3,C,PTR0003185,2026-03-16,06:31:09,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033PDB,24,,PTR0003185,2026-03-16,06:31:12,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033PDA,13,,PTR0003185,2026-03-16,06:31:19,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T33BCTL,4,,PTR0003185,2026-03-16,06:31:22,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047ZDB,2,D,PTR0003186,2026-04-08,11:20:11,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047ZFD,3,D,PTR0003186,2026-04-08,11:20:12,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047ZFO,2,D,PTR0003186,2026-04-08,11:20:14,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047ZFJ,3,D,PTR0003186,2026-04-08,11:20:15,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047ZJD,4,D,PTR0003186,2026-04-08,11:20:17,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047ZJC,7,D,PTR0003186,2026-04-08,11:20:19,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047ZLH,2,D,PTR0003186,2026-04-08,11:20:20,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047ZLC,2,D,PTR0003186,2026-04-08,11:20:22,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047ZSM,5,D,PTR0003186,2026-04-08,11:20:23,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047ZSE,3,D,PTR0003186,2026-04-08,11:20:25,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047Z0B,2,D,PTR0003186,2026-04-08,11:20:27,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047ZT1,2,D,PTR0003186,2026-04-08,11:20:28,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047ZTF,2,D,PTR0003186,2026-04-08,11:20:30,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047Z02,3,D,PTR0003186,2026-04-08,11:20:32,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047Z40,2,D,PTR0003186,2026-04-08,11:20:36,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047Z10,2,D,PTR0003186,2026-04-08,11:20:37,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047Z68,3,D,PTR0003186,2026-04-08,11:20:39,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047Z49,2,D,PTR0003186,2026-04-08,11:20:40,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047Z70,3,D,PTR0003186,2026-04-08,11:20:43,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047Z84,3,D,PTR0003186,2026-04-08,11:20:45,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047Z81,3,D,PTR0003186,2026-04-08,11:20:46,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047Z90,3,D,PTR0003186,2026-04-08,11:20:48,DBFA,,,N,N,N,N,N,N,
,MTFS,COPY,TBLICNTL,6,,PTR0003186,2026-04-08,11:20:59,DBFA,,,N,N,N,N,N,N,
,MTFS,SYS,S7047CWA,1,,PTR0003186,2026-04-08,11:21:00,DBFA,,,N,N,N,N,N,N,
,MTFS,SYS,S7047CW8,1,,PTR0003186,2026-04-08,11:21:01,DBFA,,,N,N,N,N,N,N,
,MTFS,JCL,TC7047CW,1,,PTR0003186,2026-04-08,11:21:02,DBFA,,,N,N,N,N,N,N,
,MTFS,SYS,S7047CWE,1,,PTR0003186,2026-04-08,11:21:02,DBFA,,,N,N,N,N,N,N,
,MTFS,SYS,S7047CWD,1,,PTR0003186,2026-04-08,11:21:03,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,X7047Z77,3,D,PTR0003186,2026-04-08,11:21:05,DBFA,,,N,N,N,N,N,N,
,MTFS,CMAP,TBLMAT1,5,,PTR0003186,2026-04-08,11:21:13,DBFA,,,N,N,N,N,N,N,
,MTFS,CMAP,TBLMCFM,5,,PTR0003186,2026-04-08,11:21:18,DBFA,,,N,N,N,N,N,N,
,MTFS,CMAP,TBLMCNT,10,,PTR0003186,2026-04-08,11:21:19,DBFA,,,N,N,N,N,N,N,
,MTFS,CMAP,TBLMSVW,4,,PTR0003186,2026-04-08,11:21:21,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TBLPATM1,41,,PTR0003186,2026-04-08,11:21:23,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TBLPCFMM,33,,PTR0003186,2026-04-08,11:21:26,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TBLPCNTM,13,,PTR0003186,2026-04-08,11:21:29,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TBLPSTMM,11,,PTR0003186,2026-04-08,11:21:31,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TBLPREVW,10,,PTR0003186,2026-04-08,11:21:34,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7047CWO,1,,PTR0003186,2026-04-08,11:21:36,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7047CCF,5,,PTR0003186,2026-04-08,11:21:38,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TBLPSTVW,12,,PTR0003186,2026-04-08,11:21:41,DBFA,,,N,N,N,N,N,N,
,MTFS,JCL,XC704710,1,,PTR0003186,2026-04-08,11:21:43,DBFA,,,N,N,N,N,N,N,
,MTFS,PROC,T7047CW0,2,,PTR0003186,2026-04-08,11:21:44,DBFA,,,N,N,N,N,N,N,
,MTFS,PROC,X7047U10,1,,PTR0003186,2026-04-08,11:21:44,DBFA,,,N,N,N,N,N,N,
,MTFS,CMAP,TBLMCNT,11,,PTR0003186,2026-05-07,10:36:12,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TBLPSTMM,12,,PTR0003186,2026-05-07,10:36:15,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TBLPATM1,42,,PTR0003186,2026-05-07,10:36:21,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TBLPREVW,11,,PTR0003186,2026-05-07,10:36:24,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TBLPSTVW,13,,PTR0003186,2026-05-07,10:36:27,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7047CXO,13,,PTR0003186,2026-05-07,10:36:29,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7047CYO,12,,PTR0003186,2026-05-07,10:36:32,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7047CWO,2,,PTR0003186,2026-05-07,10:36:34,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033CMA,13,,PTR0003187,2026-03-27,11:24:27,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033G13,34,,PTR0003188,2026-03-30,14:39:41,DBFA,,,N,N,N,N,N,N,
,MTFS,PROC,T7036ZB0,8,,PTR0003189,2026-03-19,08:30:55,DBFA,,,N,N,N,N,N,N,
,MTFS,PROC,T7036ZA0,11,,PTR0003189,2026-03-19,08:30:56,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033JEA,104,,PTR0003190,2026-03-27,11:33:45,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033G18,37,,PTR0003191,2026-03-31,13:33:24,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033G27,79,,PTR0003192,2026-03-25,10:58:32,DBFA,,,N,N,N,N,N,N,
,MTFS,COPY,TK3EN206,7,,PTR0003194,2026-04-15,14:18:51,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T3118V24,11,,PTR0003194,2026-04-15,14:18:54,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033206,79,,PTR0003194,2026-04-15,14:18:57,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7036VAB,73,,PTR0003195,2026-03-27,11:36:44,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,XK105101,2,,PTR0003196,2026-03-20,09:59:47,DBFA,,,N,N,N,N,N,N,
,MTFS,PROC,T7030FR0,22,,PTR0003198,2026-04-01,09:47:57,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TK0T11CG,2,,PTR0003198,2026-04-01,09:48:00,DBFA,,,N,N,N,N,N,N,
,MTFS,JCL,TSTX0512,1,,PTR0003199,2026-03-24,12:53:24,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,XK105102,1,,PTR0003199,2026-03-24,12:53:26,DBFA,,,N,N,N,N,N,N,
,MTFS,COPY,TBLICOMM,5,,PTR0003200,2026-04-03,12:03:01,DR2B,,,N,N,N,N,N,N,
,MTFS,COB,TBLPCFMM,31,,PTR0003200,2026-04-03,12:03:08,DR2B,,,N,N,N,N,N,N,
,MTFS,COB,TBLPSTMM,10,,PTR0003200,2026-04-03,12:03:13,DR2B,,,N,N,N,N,N,N,
,MTFS,COB,TBLPMENU,7,,PTR0003200,2026-04-03,12:03:16,DR2B,,,N,N,N,N,N,N,
,MTFS,COB,TBLPSTGE,51,,PTR0003200,2026-04-03,12:03:20,DR2B,,,N,N,N,N,N,N,
,MTFS,COB,T7030ATP,21,,PTR0003201,2026-03-31,13:35:32,DBFA,,,N,N,N,N,N,N,
,MTFS,TAXR,LA260076,1,,PTR0003201,2026-03-31,13:35:33,BFD,,,N,N,N,N,N,N,
,MTFS,TAXR,PA260075,1,,PTR0003201,2026-03-31,13:35:33,BFD,,,N,N,N,N,N,N,
,MTFS,TAXR,SC260077,1,,PTR0003201,2026-03-31,13:35:34,BFD,,,N,N,N,N,N,N,
,MTFS,TAXS,LA260076,1,,PTR0003201,2026-03-31,13:35:34,BFD,,,N,N,N,N,N,N,
,MTFS,TAXS,SC260077,1,,PTR0003201,2026-03-31,13:35:35,BFD,,,N,N,N,N,N,N,
,MTFS,COB,T7033599,137,,PTR0003203,2026-04-08,12:54:08,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033595,80,,PTR0003204,2026-04-09,12:00:56,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033596,177,,PTR0003204,2026-04-09,12:01:00,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033206,77,,PTR0003206,2026-04-02,11:11:21,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TOMPRUC,131,,PTR0003207,2026-04-01,09:50:53,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033378,194,,PTR0003208,2026-04-14,11:25:22,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7030170,25,,PTR0003211,2026-05-20,13:21:54,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033G30,45,,PTR0003212,2026-05-04,08:47:30,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033851,7,,PTR0003213,2026-04-13,12:32:05,DBFA,,,N,N,N,N,N,N,
,MTFS,COPY,TOMIENC,7,,PTR0003215,2026-05-22,08:24:32,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TOMPENC,11,,PTR0003215,2026-05-22,08:24:35,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TOMPE100,47,,PTR0003215,2026-05-22,08:24:38,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TOMPE200,54,,PTR0003215,2026-05-22,08:24:41,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TOMPE500,23,,PTR0003215,2026-05-22,08:24:44,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TOMPE400,47,,PTR0003215,2026-05-22,08:24:47,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TOMPE300,18,,PTR0003215,2026-05-22,08:24:51,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TOMPE000,31,,PTR0003215,2026-05-22,08:24:54,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TOMPE600,22,,PTR0003215,2026-05-22,08:24:57,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033693,34,,PTR0003215,2026-05-22,08:25:00,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TOMPE900,7,,PTR0003215,2026-05-22,08:25:03,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TOMPE800,22,,PTR0003215,2026-05-22,08:25:07,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TOMPE700,8,,PTR0003215,2026-05-22,08:25:10,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033694,32,,PTR0003215,2026-05-22,08:25:14,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T77DDGR1,4,,PTR0003216,2026-04-15,14:15:44,DR2A,,,N,N,N,N,N,N,
,MTFS,COB,TICPRPGB,14,,PTR0003216,2026-04-15,14:15:48,DR2A,,,N,N,N,N,N,N,
,MTFS,COB,TICPRPGB,16,,PTR0003216,2026-04-23,13:38:39,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7037EJD,7,,PTR0003218,2026-04-08,11:29:59,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TK0TPTCP,76,,PTR0003219,2026-04-13,12:56:00,DR2A,,,N,N,N,N,N,N,
,MTFS,COB,TK0TPTCV,139,,PTR0003219,2026-04-13,12:56:02,DR2A,,,N,N,N,N,N,N,
,MTFS,COB,T7033EFQ,3,,PTR0003220,2026-04-21,10:18:37,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033238,10,,PTR0003224,2026-05-28,11:36:33,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,T7033027,18,,PTR0003225,2026-04-24,11:53:54,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TK0TPTCP,77,,PTR0003226,2026-04-20,14:03:10,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TK0TPTPA,71,,PTR0003226,2026-04-20,14:03:13,DBFA,,,N,N,N,N,N,N,
,MTFS,COB,TK0TPTCV,140,,PTR0003226,2026-04-20,14:03:17,DBFA,,,N,N,N,N,N,N,
